,name,seed_everything,test_prompt_length,max_pred_length,lr,adversarial_training,max_length,batch_size,model,optimizer,dim_model,num_heads,dim_feedforward,num_decoder_layers,dropout_p,layer_norm_eps,lstm_embedding_dim,lstm_hidden_dim,lstm_num_layers,lstm_dropout,xlstm_embedding_dim,xlstm_num_blocks,linear_embedding_dim,linear_bias,linear_dim,mamba_d_model,mamba_d_state,mamba_d_conv,mamba_n_layers,min_train_loss,min_train_loss_step,max_val_accuracy,max_val_accuracy_step,min_val_loss,min_val_loss_step,min_val_kl,min_val_kl_step,rule_1_accuracy4min_val_loss,rule_3_accuracy4min_val_loss,rule_2_accuracy4min_val_loss,grammatical_accuracy4min_val_loss,finished4min_val_loss,ood_rule_1_accuracy4min_val_loss,ood_rule_3_accuracy4min_val_loss,ood_rule_2_completion_accuracy4min_val_loss,ood_rule_2_accuracy4min_val_loss,ood_grammatical_accuracy4min_val_loss,ood_finished4min_val_loss,sos_rule_1_accuracy4min_val_loss,sos_rule_3_accuracy4min_val_loss,sos_rule_2_accuracy4min_val_loss,sos_grammatical_accuracy4min_val_loss,sos_finished4min_val_loss
0,vibrant-sweep-35,22416,6,300,0.002,False,256,128,mamba,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.024595843628048897,479,0.6404882669448853,9,0.6797101497650146,1,0.6418036818504333,1,0.8125,0,0.59375,0.34375,1.0,0.6296296119689941,0,0.59375,0,0,1.0,1.0,0,1.0,1.0,1.0
1,gallant-sweep-34,36210,6,300,0.002,False,256,128,transformer,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.52323317527771,249,0.6469707489013672,17,0.6555599570274353,8,0.617653489112854,8,1.0,0,1.0,1.0,1.0,1.0,0,0.9629629850387573,0,0,1.0,1.0,0,1.0,1.0,1.0
2,gentle-sweep-32,66995,6,300,0.002,False,256,128,mamba,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.02493654564023018,280,0.6508237719535828,1,0.6554712057113647,1,0.6175646781921387,1,0.65625,0,0.625,0.4000000059604645,1.0,0.7419354915618896,0,0.8888888955116272,0,0,1.0,1.0,0,1.0,1.0,1.0
3,lunar-sweep-33,93057,6,300,0.002,False,256,128,linear,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,7.427286341510353e-09,493,0.4539533853530884,25,4.411879539489746,0,0.4505634903907776,24,0.0,0,0.0,0.0,1.0,0.0,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0
4,polar-sweep-27,77608,6,300,0.002,False,256,128,mamba,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.024776961654424667,300,0.6289898157119751,26,0.6953542232513428,2,0.6574478149414062,2,0.71875,0,1.0,0.4375,1.0,0.65625,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0
5,glowing-sweep-29,22801,6,300,0.002,False,256,128,transformer,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.571852445602417,498,0.6674443483352661,5,0.6190413236618042,9,0.5811349153518677,9,1.0,0,1.0,1.0,1.0,1.0,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0
6,gentle-sweep-23,95095,6,300,0.002,False,256,128,linear,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,5.778190814709205e-09,499,0.4754377603530884,25,3.6111183166503906,0,0.5524008274078369,25,0.0,0,0.0,0.0,1.0,0.0,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0
7,polar-sweep-27,77608,6,300,0.002,False,256,128,mamba,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.024776961654424667,300,0.6289898157119751,26,0.6953542232513428,2,0.6574478149414062,2,0.71875,0,1.0,0.4375,1.0,0.65625,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0
8,fresh-sweep-20,53542,6,300,0.002,False,256,128,transformer,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.5571046471595764,267,0.6502537727355957,5,0.6500656008720398,8,0.6121591329574585,8,1.0,0,1.0,1.0,1.0,1.0,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0
9,silvery-sweep-17,9355,6,300,0.002,False,256,128,mamba,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.02458714134991169,401,0.6524197459220886,12,0.654776930809021,1,0.6168704032897949,1,0.84375,0,0.71875,0.53125,1.0,0.9523809552192688,0,0.875,0,0,1.0,1.0,0,1.0,1.0,1.0
10,drawn-sweep-19,88607,6,300,0.002,False,256,128,linear,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,9.579939508341795e-09,499,0.4325298070907593,24,4.044516563415527,0,0.8457252979278564,25,0.0,0,0.0,0.0,1.0,0.0,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0
11,fluent-sweep-12,66858,6,300,0.002,False,256,128,linear,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,9.235873399404682e-09,496,0.4295279085636139,25,4.010206699371338,0,0.9287653565406799,24,0.0,0,0.0,0.0,1.0,0.0,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0
12,absurd-sweep-10,34596,6,300,0.002,False,256,128,transformer,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.564775288105011,261,0.662717342376709,8,0.6273171305656433,6,0.589410662651062,6,1.0,0,1.0,1.0,1.0,0.8999999761581421,0,0.8999999761581421,0,0,1.0,1.0,0,1.0,1.0,1.0
13,fragrant-sweep-14,3835,6,300,0.002,False,256,128,linear,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,7.100216858901831e-09,498,0.4610134959220886,24,4.138449192047119,0,0.45534762740135193,24,0.0,0,0.0,0.0,1.0,0.0,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0
14,feasible-sweep-6,40247,6,300,0.002,False,256,128,mamba,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.024669067934155464,498,0.6437332630157471,1,0.671273946762085,1,0.6333674192428589,1,0.71875,0,0.90625,0.28125,1.0,0.46875,0,0.5,0,0,1.0,1.0,0,1.0,1.0,1.0
15,rare-sweep-7,71181,6,300,0.002,False,256,128,transformer,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.5274783968925476,411,0.650831401348114,9,0.6471538543701172,9,0.6092474460601807,9,1.0,0,1.0,1.0,1.0,1.0,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0
16,charmed-sweep-8,16911,6,300,0.002,False,256,128,linear,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,8.568086684590526e-09,492,0.45152905583381653,25,4.006157398223877,0,0.5973404049873352,25,0.0,0,0.0,0.0,1.0,0.0,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0
17,sparkling-sweep-9,33379,6,300,0.002,False,256,128,linear,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,9.652111110369788e-09,499,0.42927712202072144,25,4.168025016784668,0,0.9371441006660461,25,0.0,0,0.0,0.0,1.0,0.0,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0
18,still-sweep-1,50083,6,300,0.002,False,256,128,linear,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.08077666163444519,19,0.2828003466129303,0,3.7154340744018555,0,1.2178486585617065,0,0.0,0,0.0,0.0,1.0,0.0,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0
